Date,Close,Open,High,Low,Vol.,Change %,Direction
1/4/2000,283.70,289.50,289.50,280.00,21.62K,-2.04%,DOWN
1/5/2000,282.10,283.70,285.00,281.00,25.45K,-0.56%,DOWN
1/6/2000,282.40,281.60,282.80,280.20,19.06K,0.11%,UP
1/7/2000,282.90,282.50,284.50,282.00,11.27K,0.18%,UP
1/10/2000,282.70,282.40,283.90,281.80,30.60K,-0.07%,UP
1/11/2000,284.40,282.40,285.30,281.90,13.50K,0.60%,UP
1/12/2000,283.70,284.50,285.00,282.50,17.84K,-0.25%,DOWN
1/13/2000,285.10,283.50,285.90,282.90,12.17K,0.49%,UP
1/14/2000,284.90,285.20,285.60,284.00,32.34K,-0.07%,DOWN
1/18/2000,289.60,286.10,289.80,285.90,28.62K,1.65%,UP
1/19/2000,290.30,289.60,291.00,287.50,24.10K,0.24%,UP
1/20/2000,289.30,290.30,290.70,288.40,20.71K,-0.34%,DOWN
1/21/2000,289.70,289.00,290.30,287.40,25.73K,0.14%,UP
1/24/2000,288.10,289.70,289.70,286.30,32.14K,-0.55%,DOWN
1/25/2000,286.60,288.00,291.80,286.60,36.12K,-0.52%,DOWN
1/26/2000,286.50,286.80,287.50,284.70,19.63K,-0.03%,DOWN
1/27/2000,287.10,286.20,287.50,285.60,14.49K,0.21%,UP
1/28/2000,286.00,289.60,290.70,283.00,15.19K,-0.38%,DOWN
1/31/2000,286.20,286.00,287.40,284.90,13.45K,0.07%,UP
2/1/2000,285.40,286.00,286.50,285.00,18.56K,-0.28%,DOWN
2/2/2000,287.70,285.40,289.20,285.30,21.68K,0.81%,UP
2/3/2000,289.90,287.70,290.90,287.00,111.57K,0.76%,UP
2/4/2000,313.00,290.20,318.50,289.90,81.00K,7.97%,UP
2/7/2000,304.50,318.00,326.90,302.00,41.22K,-2.72%,DOWN
2/8/2000,301.70,306.00,308.00,298.50,43.96K,-0.92%,DOWN
2/9/2000,308.60,301.70,314.00,301.70,68.35K,2.29%,UP
2/10/2000,318.70,308.50,319.00,308.50,33.90K,3.27%,UP
2/11/2000,313.60,318.30,320.40,311.00,26.79K,-1.60%,DOWN
2/14/2000,311.00,313.60,313.60,308.30,29.20K,-0.83%,DOWN
2/15/2000,304.10,310.70,311.50,303.80,26.79K,-2.22%,DOWN
2/16/2000,305.00,304.20,306.00,299.70,56.34K,0.30%,UP
2/17/2000,303.80,305.30,312.50,300.00,11.81K,-0.39%,DOWN
2/18/2000,307.30,303.30,307.80,302.00,19.38K,1.15%,UP
2/22/2000,307.70,307.60,309.40,304.20,25.89K,0.13%,UP
2/23/2000,302.40,307.70,308.20,302.30,28.34K,-1.72%,DOWN
2/24/2000,300.90,302.40,303.50,300.20,50.88K,-0.50%,DOWN
2/25/2000,294.60,300.90,301.20,293.50,12.40K,-2.09%,DOWN
2/28/2000,294.20,294.50,295.40,293.10,19.66K,-0.14%,DOWN
2/29/2000,294.20,293.80,296.50,293.50,14.91K,0.00%,UP
3/1/2000,293.30,294.20,296.20,292.80,28.15K,-0.31%,DOWN
3/2/2000,289.70,292.90,293.30,289.40,14.36K,-1.23%,DOWN
3/3/2000,290.30,289.70,292.20,289.20,11.76K,0.21%,UP
3/6/2000,289.40,290.60,291.70,289.20,29.35K,-0.31%,DOWN
3/7/2000,293.70,289.50,295.40,289.40,23.10K,1.49%,UP
3/8/2000,290.40,293.80,295.00,289.80,20.16K,-1.12%,DOWN
3/9/2000,292.70,290.00,293.00,289.60,33.68K,0.79%,UP
3/10/2000,290.00,292.70,294.00,289.40,15.87K,-0.92%,DOWN
3/13/2000,291.50,290.00,292.90,290.00,14.10K,0.52%,UP
3/14/2000,289.70,291.70,292.60,289.20,10.30K,-0.62%,DOWN
3/15/2000,289.60,289.60,291.00,289.30,39.83K,-0.03%,Break Even
3/16/2000,287.00,289.90,290.40,286.30,22.02K,-0.90%,DOWN
3/17/2000,285.00,286.80,287.00,283.60,17.90K,-0.70%,DOWN
3/20/2000,286.50,285.00,286.90,284.50,42.69K,0.53%,UP
3/21/2000,290.40,286.50,292.00,284.20,13.80K,1.36%,UP
3/22/2000,288.30,290.40,291.10,288.10,36.66K,-0.72%,DOWN
3/23/2000,285.40,288.40,288.60,283.80,12.05K,-1.01%,DOWN
3/24/2000,285.10,285.60,286.10,284.60,51.45K,-0.11%,DOWN
3/27/2000,280.50,285.40,285.40,280.20,22.15K,-1.61%,DOWN
3/28/2000,279.50,280.80,281.80,279.40,17.78K,-0.36%,DOWN
3/29/2000,275.90,279.50,280.20,274.80,12.11K,-1.29%,DOWN
3/30/2000,279.10,279.00,280.20,277.90,29.78K,1.16%,UP
3/31/2000,281.40,279.60,283.00,277.50,31.83K,0.82%,UP
4/3/2000,280.40,281.50,282.00,279.70,12.35K,-0.36%,DOWN
4/4/2000,286.60,280.70,291.50,278.40,44.07K,2.21%,UP
4/5/2000,283.80,286.70,287.10,283.20,21.14K,-0.98%,DOWN
4/6/2000,282.70,283.80,284.30,281.30,13.22K,-0.39%,DOWN
4/7/2000,282.50,283.00,283.60,281.90,7.87K,-0.07%,DOWN
4/10/2000,284.00,281.80,285.00,281.50,6.78K,0.53%,UP
4/11/2000,283.70,284.30,286.00,283.10,17.91K,-0.11%,DOWN
4/12/2000,283.50,283.50,285.70,281.50,19.82K,-0.07%,Break Even
4/13/2000,283.20,283.50,284.80,282.00,11.97K,-0.11%,DOWN
4/14/2000,284.60,283.40,288.50,282.50,30.67K,0.49%,UP
4/17/2000,284.20,285.10,287.50,282.80,17.84K,-0.14%,DOWN
4/18/2000,283.00,284.00,284.80,282.40,15.41K,-0.42%,DOWN
4/19/2000,282.50,283.00,283.90,282.00,11.57K,-0.18%,DOWN
4/20/2000,281.50,282.40,283.00,280.50,13.09K,-0.35%,DOWN
4/24/2000,281.20,281.50,282.90,280.90,7.76K,-0.11%,DOWN
4/25/2000,279.80,281.00,282.00,279.50,13.62K,-0.50%,DOWN
4/26/2000,277.10,280.00,280.10,276.40,27.42K,-0.96%,DOWN
4/27/2000,278.40,277.30,279.10,276.80,15.08K,0.47%,UP
4/28/2000,274.70,278.20,279.00,274.00,25.40K,-1.33%,DOWN
5/1/2000,274.80,274.80,276.10,273.60,16.30K,0.04%,Break Even
5/2/2000,277.00,275.10,277.90,274.70,16.04K,0.80%,UP
5/3/2000,279.10,277.20,279.40,276.60,22.23K,0.76%,UP
5/4/2000,281.20,280.00,284.00,278.10,34.63K,0.75%,UP
5/5/2000,280.10,282.00,283.80,278.50,30.22K,-0.39%,DOWN
5/8/2000,277.60,279.80,279.80,277.30,15.42K,-0.89%,DOWN
5/9/2000,278.20,278.00,278.90,276.70,18.48K,0.22%,UP
5/10/2000,278.70,278.40,280.00,277.90,14.29K,0.18%,UP
5/11/2000,276.50,278.70,279.30,276.10,23.25K,-0.79%,DOWN
5/12/2000,276.90,276.80,277.90,276.50,10.33K,0.14%,UP
5/15/2000,276.40,277.20,277.80,274.80,19.33K,-0.18%,DOWN
5/16/2000,276.20,276.80,278.00,275.70,15.84K,-0.07%,DOWN
5/17/2000,273.80,276.10,276.20,272.70,18.76K,-0.87%,DOWN
5/18/2000,273.70,273.80,274.80,272.10,18.76K,-0.04%,DOWN
5/19/2000,274.60,274.40,274.90,273.30,20.59K,0.33%,UP
5/22/2000,276.20,274.30,277.50,274.00,30.18K,0.58%,UP
5/23/2000,274.70,276.20,277.20,273.80,23.83K,-0.54%,DOWN
5/24/2000,273.80,275.00,275.00,273.20,15.93K,-0.33%,DOWN
5/25/2000,270.70,273.80,275.00,269.50,56.14K,-1.13%,DOWN
5/26/2000,272.20,270.70,273.30,270.10,30.19K,0.55%,UP
5/30/2000,275.50,275.10,277.20,275.00,11.81K,1.21%,UP
5/31/2000,274.80,275.60,275.90,274.50,12.63K,-0.25%,DOWN
6/1/2000,275.40,275.40,276.40,274.80,65.97K,0.22%,Break Even
6/2/2000,284.20,275.50,285.90,275.30,33.37K,3.20%,UP
6/5/2000,288.20,283.80,289.10,283.20,39.84K,1.41%,UP
6/6/2000,291.80,287.00,294.50,286.60,33.07K,1.25%,UP
6/7/2000,290.00,292.00,292.20,286.90,34.16K,-0.62%,DOWN
6/8/2000,286.80,290.00,290.20,286.30,18.79K,-1.10%,DOWN
